'1084-4','BUTLER','Male','Canine',2093,100,'pounds'
'1088-2','MIKEY','Neutered Male','Canine',4509,29.7,'pounds'
'1088-3','MEOW','Female','Feline',4173,8.7,'pounds'
'1088-4','MERLE','Neutered Male','Canine',3533,40.3,'pounds'
'109-11','JODIE','Spayed Female','Canine',1207,48.3,'pounds'
'109-12','JASMINE','Spayed Female','Canine',356,25.2,'pounds'
'109-13','JAY','Spayed Female','Canine',248,40.5,'pounds'
'109-3','SKIPPER','Male','Canine',6184,51.9,'pounds'
'109-5','SAM','Neutered Male','Canine',743,28.6,'pounds'
'109-6','BUTTER','Male','Feline',,2.08,'pounds'
'109-7','STRIPES II','Male','Feline',621,2.08,'pounds'
'109-8','SNOW','Spayed Female','Canine',4844,45.6,'pounds'
'109-9','JINX','Neutered Male','Feline',3502,7.12,'pounds'
'1093-1','JORDAN','Spayed Female','Canine',6837,26.8,'pounds'
'1093-5','CHAMP','Neutered Male','Canine',1930,41,'pounds'
'1094-1','AIMEE','Female','Feline',10459,8.5,'pounds'
'1095-1','CALLY','Spayed Female','Feline',8328,5.05,'pounds'
'1095-2','HEIDI','Spayed Female','Feline',1648,18.1,'pounds'
'1097-1','SCOTTIE','Neutered Male','Canine',,22,'pounds'
'11-10','ORVILLE','Neutered Male','Feline',6928,10,'pounds'
'11-11','STODDARD','Female','Feline',8449,3.1,'pounds'
'11-12','SUNNY','Spayed Female','Feline',,3.13,'pounds'
'11-13','WELLINGTON','Neutered Male','Feline',,10,'pounds'
'11-14','WILBUR','Neutered Male','Feline',6928,9.1,'pounds'
'11-15','GIRLIE','Spayed Female','Canine',711,51,'pounds'
'11-16','AZAR','Neutered Male','Feline',800,10.08,'pounds'
'11-17','TOLEDO','Undetermined','Feline',3947,11,'pounds'
'11-18','WAGNER','Neutered Male','Feline',,5.8,'pounds'
'11-20','STREIGH','Neutered Male','Feline',3852,10.0600000000000015,'pounds'
'11-21','EARNIE','Neutered Male','Canine',3984,53.8,'pounds'
'11-22','BLACKJACK','Neutered Male','Feline',5911,11.13,'pounds'
'11-23','DUDLEY','Neutered Male','Feline',7681,9.8,'pounds'
'11-24','SPRINGFIELD','Spayed Female','Feline',,8,'pounds'
'11-26','BARNABY','Neutered Male','Canine',3996,35,'pounds'
'11-27','ZEBBIE','Neutered Male','Feline',1806,12.08,'pounds'
'11-28','BLANDHI','Neutered Male','Feline',1806,9.2,'pounds'
'11-29','JOEY CHECKERZ','Neutered Male','Canine',1601,123,'pounds'
'11-3','COSWORTH','Neutered Male','Feline',5776,10.1,'pounds'
'11-30','JELYC','Undetermined','Feline',1217,6.13,'pounds'
'11-31','ELLEGIE LOUIJA','Spayed Female','Canine',489,12.6,'pounds'
'11-32','STETSON','Neutered Male','Feline',177,5.1,'pounds'
'11-5','GABY','Spayed Female','Canine',7019,48.3,'pounds'
'11-6','GHANDI','Neutered Male','Feline',6714,8,'pounds'
'11-7','JEEVES','Neutered Male','Feline',,9,'pounds'
'11-8','MAGIC','Male','Feline',8480,6.1,'pounds'
'11-9','MUGSY','Spayed Female','Feline',,7.13999999999999881,'pounds'
'110-1','BONNIE','Female','Canine',3945,71.5,'pounds'
'1100-1','PEPPER','Spayed Female','Canine',5850,21.4,'pounds'
'1102-1','PETE','Male','Feline',,14.9,'pounds'
'1102-2','SHEEP','Undetermined','Ovine',,10,'pounds'
'1102-3','GINGER','Spayed Female','Canine',,84,'pounds'
'1103-1','CANDY SUE','Spayed Female','Canine',5463,18,'pounds'
'1107-1','ECHO','Spayed Female','Canine',5373,24.2,'pounds'
'1107-2','WINKIE','Spayed Female','Feline',,6.15,'pounds'
'1107-3','PUDDIN','Neutered Male','Feline',,9.7,'pounds'
'1107-4','GABRIEL','Neutered Male','Feline',1795,15.1,'pounds'
'1111-1','BEANS','Spayed Female','Canine',3221,60.7,'pounds'
'1112-1','KODIAK','Neutered Male','Feline',6898,16,'pounds'
'1112-2','MEWZETTE','Spayed Female','Feline',,12,'pounds'
'1114-1','ANGEL','Spayed Female','Canine',4726,18.2,'pounds'
'1114-2','BUDDY','Neutered Male','Canine',3405,133,'pounds'
'1114-3','ZOEY','Spayed Female','Canine',2022,45.6,'pounds'
'1116-1','SAMUEL ADAMS','Male','Canine',5073,24,'pounds'
'1117-1','ANDY','Neutered Male','Feline',,8,'pounds'
'1117-2','SIMON','Neutered Male','Feline',5680,12.1,'pounds'
'112-1','GRIZZY','Male','Canine',5063,22,'pounds'
'112-3','HOPPER','Male','Canine',4175,10.2,'pounds'
'112-4','HOTSHOT','Male','Canine',4175,8.8,'pounds'
'1120-10','SPARKY','Male','Canine',,49,'pounds'
'1120-11','BEYONCE','Female','Canine',505,51,'pounds'
'1120-2','LOUISE','Spayed Female','Canine',4707,19,'pounds'
'1120-6','SHYNESS','Spayed Female','Feline',3552,8,'pounds'
'1120-7','CLEOPATRA','Spayed Female','Feline',3908,8.7,'pounds'
'1120-9','GULLIVER','Neutered Male','Feline',2820,11.04,'pounds'
'1123-2','SKIPPY','Male','Canine',6045,45.7,'pounds'
